Month,Retention_Rate
2010-01,
2010-02,6.0606060606060606
2010-03,2.0
2010-05,
2010-06,3.6585365853658534
2010-07,4.615384615384616
2010-08,2.0202020202020203
2010-09,2.2222222222222223
2010-10,5.660377358490567
2010-12,
2011-01,21.6
2011-02,33.49875930521092
2011-03,30.434782608695656
2011-04,34.71910112359551
2011-05,35.019841269841265
2011-06,35.14036786060019
2011-07,37.697307335190345
2011-08,42.617801047120416
2011-09,31.370899915895713
2011-10,35.14811849479584
2011-11,37.61840324763194
2011-12,51.06951871657755
